Exchange,Name,Type,Min Order Size,Min Grid Step
OKX,AXS-USDT-SWAP,USDT_FUTURES,0.1 AXS,0.002 USDT
OKX,BCH-USDT-SWAP,USDT_FUTURES,0.01 BCH,0.2 USDT
OKX,BIGTIME-USDT-SWAP,USDT_FUTURES,10 BIGTIME,0.00002 USDT
OKX,BLUR-USDT-SWAP,USDT_FUTURES,10 BLUR,0.00002 USDT
OKX,BNB-USDT-SWAP,USDT_FUTURES,0.01 BNB,0.2 USDT
OKX,BONK-USDT-SWAP,USDT_FUTURES,100000 BONK,0.000000002 USDT
OKX,CELO-USDT-SWAP,USDT_FUTURES,1 CELO,0.0002 USDT
OKX,CETUS-USDT-SWAP,USDT_FUTURES,10 CETUS,0.00002 USDT
OKX,CHZ-USDT-SWAP,USDT_FUTURES,10 CHZ,0.00002 USDT
OKX,COMP-USDT-SWAP,USDT_FUTURES,0.1 COMP,0.02 USDT
OKX,CRV-USDT-SWAP,USDT_FUTURES,1 CRV,0.0002 USDT
OKX,CVC-USDT-SWAP,USDT_FUTURES,100 CVC,0.00002 USDT
OKX,DOT-USDT-SWAP,USDT_FUTURES,1 DOT,0.002 USDT
OKX,DYDX-USDT-SWAP,USDT_FUTURES,1 DYDX,0.0002 USDT
OKX,ENS-USDT-SWAP,USDT_FUTURES,0.1 ENS,0.002 USDT
OKX,ETC-USDT-SWAP,USDT_FUTURES,0.1 ETC,0.02 USDT
OKX,FIL-USDT-SWAP,USDT_FUTURES,0.1 FIL,0.002 USDT
OKX,FLOKI-USDT-SWAP,USDT_FUTURES,100000 FLOKI,0.00000002 USDT
OKX,GALA-USDT-SWAP,USDT_FUTURES,10 GALA,0.00002 USDT
